ID,Bearbeiter,Active,quelle,titel_de,description_de,group,Dauer (Minuten),Schwerpunkt,Level,Anleitung,Material,Unnamed: 12
119.0,Kerstin,Abstimmung,TOGETHER,Holzarmbänder DIY,Bastel dir ein Armband aus einem Eisstiel: Lege ihn für ca. 10 min in heißes Wasser; nimm ihn heraus und biege ihn vorsichtig; für eine schöne Biegung legst du ihn nun entlang der Glaswand (horizontal) wieder in ein leeres Wasserglas. Lass ihn ca. 1 Tag in der Sonne trocknen. Wenn du möchstest kannst du dein Armband auch bemalen..., ,30 +1d,,1,https://www.tollabea.de/tolla-holzarmband/,"Eisstiele, Stifte, Gläser, Wasserkocher",
120.0,Kerstin,,TOGETHER,Rätsel der Vielfalt (Black Stories),"Such dir 5 Mitspieler und spiele das Rätsel der Vielfalt, das du beim PIECES-Team bekommst.", ,30,,2,,Rästel der Vielfalt + Anleitung,
121.0,Kerstin,,TOGETHER,Freundschaftknoten,Mach einem Freund einen Freundschaftsknoten ins Halstuch., ,10,,1,,Anleitung,
122.0,Kerstin,,TOGETHER,Strickleiter,Baue die eine eigenen kleine Strickleiter mit nur einem Strick., ,30-60,,3,https://de.wikihow.com/Strickleiter-bauen,"Seile, Anleitung",
123.0,Kerstin,,TOGETHER,Handpfeife spielen,Folge der Anleitung und versuche ein paar Töne nur mit deinen Händen zu erzeugen., ,15-30,,3,https://de.wikihow.com/Mit-den-H%C3%A4nden-eine-Okarina-machen,-,
124.0,Kerstin,,TOGETHER,Schuh auf Fuß,Schau dir folgendes Video an und versuche selbst dein Glück: halte alles selbst auf Video fest! https://www.instagram.com/p/B9_aTGGDvBH/, ,20-30,,2,,-,
125.0,Kerstin,,TOGETHER,Regenschirm Trick,Schau dir folgendes Video an und versuche selbst dein Glück: halte alles selbst auf Video fest! https://weather.com/news/trending/video/coolest-umbrella-trick-how-does-he-do-it, ,20-30,,2,,Regenschirm selbstöffnend,
126.0,Kerstin,,TOGETHER,Upcyling II: Lacrosse,Bastel die aus Altpapier und einem Netzstoff einen Lacrosseschläger und Papierbälle und spiel eine Runde mit einem anderen CaEx., ,30,,3,https://heimatdinge.de/spiele-mit-kindern-fuer-drinnen/,Obstnetz/ Fliegengitter/ Netzstoff,
127.0,Kerstin,,TOGETHER,Augen zu! Alternative: Scout Duell,Holt dir eine Fragenliste beim PIECES-Team und sammle von 5 CaEx und/oder Leitern Antworten. Wichtig: die Antwort muss so schnell wie möglich genannt werden ohne vorher groß überlegt zu haben. Antworten müssen nicht unbedingt richtig sein! Schreibt diese auf und gebt sie beim PIECES-Team ab. Die besten Antworten werden gesammelt., ,60,,2,,"Fragenkatalog, Antwortzettel, Stift",
128.0,Kerstin,,TOGETHER,Glücksbringer Alternative,Hol dir 5 Patches und verteil sie an fremde Leute am Lagerplatz (schöne Augen; Coole Frisur; guter Style; Freundlich; sehr groß), ,30,,3,,Patches (>Kerstin),
129.0,Kerstin,,TOGETHER,Savonius Motor Alternative: Windrad,Bauen eine Windmühle mit der du kleine Gegenstände wie einen Teebeutel anheben kannst. Überlege welche Vor- und Nachteile Windenergie hat und schreibe einige Gedanken auf das Plakat!, ,30,,2,https://www.haus-der-kleinen-forscher.de/de/praxisanregungen/experimente-fuer-kinder/exp/die-kraft-des-windes,"Bleistift, Teebeutel, Strohhalm, Schaschlikspieß, Plastikflasche, Klebeband, Karton (3x3 cm)",
130.0,Kerstin,,TOGETHER,Blinder Fleck,"Ermittle in einem Experiment wo du in deinem Auge ""nichts sehen kannst"" bzw. wo dein Sehnerv einen Unterbrechung in deiner Netzhaut verursacht und dich an dieser Stelle ""blind"" macht. Die Anleitung bekommst du beim PIECES-Team. ", ,10,,2,,"Bleistift, A4 Papier, Lineal 30 cm",
131.0,,,,,, ,,,1,,,
132.0,,,,,, ,,,1,,,
133.0,Roland,,TOGETHER,Balanzierte Jause,"Auf einem Tisch sind Früchte oder Süsses diese Können nun mit Besteck gegessen werden , wenn auf einem Balance Board das Gleichgewicht gehalten werden kann", ,10,,2,,"Tisch , Brett , Scheitholz , Früchte",
134.0,Roland,,TOGETHER,CaEx Grimasse,Auf dem Boden liegend wird ein Keks auf die Stirn gelegt und dieses muss dann nur durch Gesichtsbewegungen in den Mund befördert werden, ,15,,1,,Kekse,
,,,,,, ,,,,,,
,,,,,, ,,,,,,
,,,,,, ,,,,,,
,,,,,, ,,,,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,, ,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
